date,sku,category,region,channel,quantity,price_per_unit,discount,revenue
2023-01-01,Лидское Нефильтрованное 0.5л,Специальное,Минск,Сетевой ритейл,33,2.95,0.0,97.35
2023-01-01,Лидское Классическое 0.5л,Светлое,Брестская область,HoReCa,13,2.05,0.0,26.65
2023-01-01,Лидское Тёмное 0.5л,Тёмное,Минск,Сетевой ритейл,29,2.55,0.0,73.95
2023-01-01,Лидское Светлое 0.5л,Светлое,Минск,Специализированные магазины,103,2.15,0.0,221.45
2023-01-01,Лидское Светлое 1.0л,Светлое,Гродненская область,HoReCa,114,3.9,0.0,444.6
2023-01-01,Лидское Классическое 1.0л,Светлое,Брестская область,Сетевой ритейл,31,3.7,0.0,114.7
2023-01-01,Лидское Пшеничное 0.5л,Специальное,Минская область,Сетевой ритейл,26,2.75,0.0,71.5
2023-01-01,Лидское Лёгкое 0.5л,Светлое,Гродненская область,HoReCa,12,1.95,0.05,22.23
2023-01-01,Лидское Портер 0.5л,Тёмное,Могилёвская область,Сетевой ритейл,12,2.9,0.0,34.8
2023-01-01,Лидское Классическое 1.0л,Светлое,Брестская область,HoReCa,32,3.7,0.0,118.4
2023-01-01,Лидское Безалкогольное 1.0л,Безалкогольное,Минск,Сетевой ритейл,9,3.4,0.0,30.6
2023-01-01,Лидское Светлое 0.5л,Светлое,Минск,Сетевой ритейл,23,2.15,0.0,49.45
2023-01-01,Лидское Нефильтрованное 0.5л,Специальное,Минская область,Сетевой ритейл,47,2.95,0.0,138.65
2023-01-01,Лидское Светлое 1.5л,Светлое,Могилёвская область,Специализированные магазины,36,5.2,0.05,177.84
2023-01-01,Лидское Светлое 1.0л,Светлое,Брестская область,Сетевой ритейл,49,3.9,0.0,191.1
2023-01-01,Лидское Ржаное 0.5л,Специальное,Брестская область,Специализированные магазины,8,2.85,0.05,21.66
2023-01-01,Лидское Лёгкое 0.5л,Светлое,Витебская область,Сетевой ритейл,20,1.95,0.0,39.0
2023-01-01,Лидское Юбилейное 0.5л,Светлое,Минск,Сетевой ритейл,96,2.45,0.1,211.68
2023-01-01,Лидское Лёгкое 0.5л,Светлое,Минская область,Специализированные магазины,11,1.95,0.0,21.45
2023-01-01,Лидское Лёгкое 1.0л,Светлое,Минская область,Сетевой ритейл,4,3.5,0.0,14.0
2023-01-01,Лидское Вайс 0.5л,Специальное,Минск,Специализированные магазины,45,2.8,0.1,113.4
2023-01-01,Лидское Юбилейное 1.0л,Светлое,Минск,Онлайн,57,4.3,0.0,245.1
2023-01-01,Лидское Светлое 0.5л,Светлое,Минск,Сетевой ритейл,137,2.15,0.05,279.82
2023-01-01,Лидское Классическое 1.0л,Светлое,Минская область,Сетевой ритейл,53,3.7,0.0,196.1
2023-01-01,Лидское Ржаное 0.5л,Специальное,Гродненская область,Онлайн,9,2.85,0.1,23.09
2023-01-01,Лидское Светлое 0.5л,Светлое,Брестская область,Специализированные магазины,102,2.15,0.0,219.3
2023-01-01,Лидское Светлое 1.5л,Светлое,Брестская область,Сетевой ритейл,36,5.2,0.0,187.2
2023-01-01,Лидское Тёмное 0.5л,Тёмное,Могилёвская область,HoReCa,6,2.55,0.0,15.3
2023-01-01,Лидское Тёмное 1.0л,Тёмное,Минск,HoReCa,48,4.6,0.1,198.72
2023-01-01,Лидское Юбилейное 0.5л,Светлое,Брестская область,Специализированные магазины,85,2.45,0.0,208.25
2023-01-01,Лидское Классическое 0.5л,Светлое,Гродненская область,Специализированные магазины,16,2.05,0.0,32.8
2023-01-01,Лидское Светлое 0.5л,Светлое,Минская область,Сетевой ритейл,18,2.15,0.1,34.83
2023-01-01,Лидское Лёгкое 0.5л,Светлое,Гомельская область,Сетевой ритейл,21,1.95,0.0,40.95
2023-01-02,Лидское Лёгкое 0.5л,Светлое,Могилёвская область,Сетевой ритейл,11,1.95,0.0,21.45
2023-01-02,Лидское Светлое 0.5л,Светлое,Витебская область,Специализированные магазины,89,2.15,0.0,191.35
2023-01-02,Лидское Тёмное 1.0л,Тёмное,Гродненская область,Сетевой ритейл,52,4.6,0.1,215.28
2023-01-02,Лидское Тёмное 0.5л,Тёмное,Минск,Сетевой ритейл,19,2.55,0.05,46.03
2023-01-02,Лидское Светлое 1.0л,Светлое,Минская область,Онлайн,19,3.9,0.05,70.39
2023-01-02,Лидское Тёмное 0.5л,Тёмное,Гродненская область,Сетевой ритейл,35,2.55,0.0,89.25
2023-01-02,Лидское Юбилейное 0.5л,Светлое,Гродненская область,Сетевой ритейл,65,2.45,0.0,159.25
2023-01-02,Лидское Светлое 0.5л,Светлое,Брестская область,Сетевой ритейл,126,2.15,0.1,243.81
2023-01-02,Лидское Лёгкое 0.5л,Светлое,Минск,Сетевой ритейл,16,1.95,0.05,29.64
2023-01-02,Лидское Светлое 1.0л,Светлое,Минск,HoReCa,45,3.9,0.0,175.5
2023-01-02,Лидское Тёмное 0.5л,Тёмное,Витебская область,HoReCa,28,2.55,0.0,71.4
2023-01-02,Лидское Светлое 0.5л,Светлое,Минская область,Сетевой ритейл,27,2.15,0.0,58.05
2023-01-02,Лидское Классическое 0.5л,Светлое,Брестская область,Онлайн,80,2.05,0.0,164.0
2023-01-02,Лидское Юбилейное 1.0л,Светлое,Минская область,HoReCa,25,4.3,0.0,107.5
2023-01-02,Лидское Светлое 1.0л,Светлое,Минская область,Сетевой ритейл,65,3.9,0.0,253.5
2023-01-02,Лидское Светлое 1.5л,Светлое,Гомельская область,Сетевой ритейл,15,5.2,0.1,70.2
2023-01-02,Лидское Вайс 0.5л,Специальное,Минск,Онлайн,42,2.8,0.1,105.84
2023-01-02,Лидское Пшеничное 0.5л,Специальное,Гомельская область,HoReCa,31,2.75,0.0,85.25
